# triplemicro
#  frequency    260.00 Hz  
#  density      6.050 g/cc  
#  diameter      4.5 microns  

# Temperature(mK)  Width        Shift
   0.5220     8875.0499       60.4394 
   0.5200     8755.7681       58.8370 
   0.5180     8637.2375       57.2659 
   0.5160     8519.4606       55.7260 
   0.5140     8402.4399       54.2167 
   0.5120     8286.1781       52.7378 
   0.5100     8170.6776       51.2889 
   0.5080     8055.9410       49.8695 
   0.5060     7941.9709       48.4794 
   0.5040     7828.7699       47.1181 
   0.5020     7716.3405       45.7853 
   0.5000     7604.6854       44.4807 
   0.4980     7493.8073       43.2038 
   0.4960     7383.7086       41.9543 
   0.4940     7274.3920       40.7319 
   0.4920     7165.8602       39.5361 
   0.4900     7058.1157       38.3667 
   0.4880     6951.1612       37.2232 
   0.4860     6844.9994       36.1053 
   0.4840     6739.6327       35.0127 
   0.4820     6635.0639       33.9449 
   0.4800     6531.2956       32.9017 
   0.4780     6428.3304       31.8827 
   0.4760     6326.1709       30.8875 
   0.4740     6224.8196       29.9159 
   0.4720     6124.2792       28.9673 
   0.4700     6024.5523       28.0415 
   0.4680     5925.6414       27.1382 
   0.4660     5827.5491       26.2570 
   0.4640     5730.2778       25.3975 
   0.4620     5633.8302       24.5595 
   0.4600     5538.2087       23.7425 
   0.4580     5443.4158       22.9463 
   0.4560     5349.4539       22.1705 
   0.4540     5256.3255       21.4147 
   0.4520     5164.0329       20.6787 
   0.4500     5072.5786       19.9620 
   0.4480     4981.9649       19.2645 
   0.4460     4892.1940       18.5857 
   0.4440     4803.2683       17.9252 
   0.4420     4715.1900       17.2829 
   0.4400     4627.9613       16.6583 
   0.4380     4541.5843       16.0512 
   0.4360     4456.0612       15.4612 
   0.4340     4371.3939       14.8880 
   0.4320     4287.5846       14.3313 
   0.4300     4204.6351       13.7907 
   0.4280     4122.5474       13.2660 
   0.4260     4041.3233       12.7569 
   0.4240     3960.9647       12.2630 
   0.4220     3881.4731       11.7840 
   0.4200     3802.8504       11.3197 
   0.4180     3725.0980       10.8697 
   0.4160     3648.2175       10.4337 
   0.4140     3572.2104       10.0115 
   0.4120     3497.0780        9.6027 
   0.4100     3422.8216        9.2071 
   0.4080     3349.4425        8.8243 
   0.4060     3276.9418        8.4541 
   0.4040     3205.3204        8.0962 
   0.4020     3134.5794        7.7503 
   0.4000     3064.7196        7.4161 
   0.3980     2995.7418        7.0934 
   0.3960     2927.6466        6.7819 
   0.3940     2860.4346        6.4813 
   0.3920     2794.1063        6.1913 
   0.3900     2728.6619        5.9117 
   0.3880     2664.1018        5.6422 
   0.3860     2600.4260        5.3826 
   0.3840     2537.6346        5.1326 
   0.3820     2475.7273        4.8919 
   0.3800     2414.7041        4.6603 
   0.3780     2354.5645        4.4376 
   0.3760     2295.3079        4.2235 
   0.3740     2236.9339        4.0178 
   0.3720     2179.4415        3.8202 
   0.3700     2122.8299        3.6305 
   0.3680     2067.0981        3.4485 
   0.3660     2012.2448        3.2739 
   0.3640     1958.2687        3.1066 
   0.3620     1905.1682        2.9462 
   0.3600     1852.9419        2.7927 
   0.3580     1801.5877        2.6457 
   0.3560     1751.1038        2.5051 
   0.3540     1701.4881        2.3707 
   0.3520     1652.7381        2.2422 
   0.3500     1604.8516        2.1195 
   0.3480     1557.8258        2.0023 
   0.3460     1511.6579        1.8906 
   0.3440     1466.3449        1.7840 
   0.3420     1421.8838        1.6825 
   0.3400     1378.2711        1.5857 
   0.3380     1335.5033        1.4937 
   0.3360     1293.5768        1.4061 
   0.3340     1252.4875        1.3228 
   0.3320     1212.2316        1.2437 
   0.3300     1172.8046        1.1686 
   0.3280     1134.2021        1.0973 
   0.3260     1096.4195        1.0297 
   0.3240     1059.4519        0.9657 
   0.3220     1023.2942        0.9050 
   0.3200      987.9413        0.8476 
   0.3180      953.3877        0.7934 
   0.3160      919.6278        0.7420 
   0.3140      886.6557        0.6936 
   0.3120      854.4654        0.6479 
   0.3100      823.0506        0.6047 
   0.3080      792.4050        0.5641 
   0.3060      762.5219        0.5258 
   0.3040      733.3945        0.4898 
   0.3020      705.0157        0.4559 
   0.3000      677.3783        0.4241 
   0.2980      650.4750        0.3943 
   0.2960      624.2980        0.3662 
   0.2940      598.8396        0.3400 
   0.2920      574.0918        0.3154 
   0.2900      550.0463        0.2923 
   0.2880      526.6949        0.2708 
   0.2860      504.0288        0.2507 
   0.2840      482.0395        0.2319 
   0.2820      460.7179        0.2144 
   0.2800      440.0549        0.1981 
   0.2780      420.0413        0.1828 
   0.2760      400.6676        0.1687 
   0.2740      381.9243        0.1555 
   0.2720      363.8014        0.1433 
   0.2700      346.2891        0.1319 
   0.2680      329.3774        0.1214 
   0.2660      313.0559        0.1117 
   0.2640      297.3143        0.1026 
   0.2620      282.1421        0.0943 
   0.2600      267.5286        0.0865 
   0.2580      253.4632        0.0794 
   0.2560      239.9349        0.0728 
   0.2540      226.9328        0.0667 
   0.2520      214.4457        0.0611 
   0.2500      202.4625        0.0560 
   0.2480      190.9720        0.0512 
   0.2460      179.9627        0.0468 
   0.2440      169.4234        0.0428 
   0.2420      159.3424        0.0391 
   0.2400      149.7084        0.0357 
   0.2380      140.5098        0.0326 
   0.2360      131.7348        0.0298 
   0.2340      123.3721        0.0272 
   0.2320      115.4098        0.0248 
   0.2300      107.8364        0.0226 
   0.2280      100.6403        0.0206 
   0.2260       93.8099        0.0188 
   0.2240       87.3336        0.0171 
   0.2220       81.1998        0.0156 
   0.2200       75.3971        0.0141 
   0.2180       69.9141        0.0129 
   0.2160       64.7394        0.0117 
   0.2140       59.8617        0.0106 
   0.2120       55.2700        0.0097 
   0.2100       50.9531        0.0088 
   0.2080       46.9001        0.0080 
   0.2060       43.1002        0.0072 
   0.2040       39.5427        0.0065 
   0.2020       36.2172        0.0059 
   0.2000       33.1132        0.0054 
   0.1980       30.2206        0.0048 
   0.1960       27.5293        0.0044 
   0.1940       25.0297        0.0039 
   0.1920       22.7120        0.0036 
   0.1900       20.5668        0.0032 
   0.1880       18.5851        0.0029 
   0.1860       16.7579        0.0026 
   0.1840       15.0764        0.0023 
   0.1820       13.5321        0.0021 
   0.1800       12.1170        0.0018 
   0.1780       10.8230        0.0016 
   0.1760        9.6425        0.0015 
   0.1740        8.5680        0.0013 
   0.1720        7.5923        0.0012 
   0.1700        6.7087        0.0010 
   0.1680        5.9105        0.0009 
   0.1660        5.1914        0.0008 
   0.1640        4.5455        0.0007 
   0.1620        3.9668        0.0006 
   0.1600        3.4501        0.0005 
   0.1580        2.9902        0.0005 
   0.1560        2.5820        0.0004 
   0.1540        2.2211        0.0003 
   0.1520        1.9031        0.0003 
   0.1500        1.6240        0.0003 
   0.1480        1.3798        0.0002 
   0.1460        1.1672        0.0002 
   0.1440        0.9827        0.0002 
   0.1420        0.8234        0.0001 
   0.1400        0.6865        0.0001 


 # 7th order polynomial to give 1/T(mK) as powers of log10width
#   6.935307e+00 
#  -1.273835e+00 
#  -1.959864e-02 
#   5.208111e-02 
#  -4.954237e-02 
#   2.192810e-02 
#  -4.574444e-03 
#   3.635674e-04 
